127.0.0.1, 2013-05-25 15:14:06, GET, /examples/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.002171
127.0.0.1, 2013-05-25 15:14:06, GET, /examples/static/css/examples.css, HTTP/1.1, 200, 0.002661
127.0.0.1, 2013-05-25 15:14:06, GET, /examples/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.007173
127.0.0.1, 2013-05-25 15:14:06, GET, /examples/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.002671
127.0.0.1, 2013-05-25 15:14:06, GET, /examples/static/js/share.js, HTTP/1.1, 200, 0.002752
127.0.0.1, 2013-05-25 15:14:06, GET, /examples/static/images/infoworld2012.jpeg, HTTP/1.1, 200, 0.002079
127.0.0.1, 2013-05-25 15:14:06, GET, /examples/static/images/book-recipes.png, HTTP/1.1, 200, 0.001684
127.0.0.1, 2013-05-25 15:14:06, GET, /examples/static/images/web2py_logo.png, HTTP/1.1, 200, 0.004230
127.0.0.1, 2013-05-25 15:14:06, GET, /examples/static/images/shadow-bottom.png, HTTP/1.1, 200, 0.001382
127.0.0.1, 2013-05-25 15:14:06, GET, /examples/static/images/book-5th.png, HTTP/1.1, 200, 0.001100
127.0.0.1, 2013-05-25 15:14:06, GET, /examples/static/images/videos.png, HTTP/1.1, 200, 0.004854
127.0.0.1, 2013-05-25 15:14:06, GET, /examples/static/images/stripes.png, HTTP/1.1, 200, 0.000842
127.0.0.1, 2013-05-25 15:14:06, GET, /examples/static/images/twitter.png, HTTP/1.1, 200, 0.001875
127.0.0.1, 2013-05-25 15:14:06, GET, /examples/static/images/questions.png, HTTP/1.1, 200, 0.002962
127.0.0.1, 2013-05-25 15:14:06, GET, /examples/static/images/gplus-32.png, HTTP/1.1, 200, 0.001607
127.0.0.1, 2013-05-25 15:14:06, GET, /examples/static/images/facebook.png, HTTP/1.1, 200, 0.001461
127.0.0.1, 2013-05-25 15:14:06, GET, /examples/static/images/favicon.ico, HTTP/1.1, 200, 0.000538
127.0.0.1, 2013-05-25 15:14:14, GET, /examples/default/download, HTTP/1.1, 200, 0.282997
127.0.0.1, 2013-05-25 15:14:14, GET, /examples/static/css/artwork.css, HTTP/1.1, 404, 0.000937
127.0.0.1, 2013-05-25 15:14:14, GET, /examples/static/images/logo_lb.png, HTTP/1.1, 200, 0.003391
127.0.0.1, 2013-05-25 15:14:14, GET, /examples/static/images/logo_db.png, HTTP/1.1, 200, 0.002362
127.0.0.1, 2013-05-25 15:14:14, GET, /examples/static/images/Stickers1.png, HTTP/1.1, 200, 0.002701
127.0.0.1, 2013-05-25 15:14:14, GET, /examples/static/images/Stickers3.png, HTTP/1.1, 200, 0.002134
127.0.0.1, 2013-05-25 15:14:14, GET, /examples/static/images/Stickers2.png, HTTP/1.1, 200, 0.001322
127.0.0.1, 2013-05-25 15:14:14, GET, /examples/static/images/logo_bw.png, HTTP/1.1, 200, 0.000962
127.0.0.1, 2013-05-25 15:14:14, GET, /examples/static/images/Stickers4.png, HTTP/1.1, 200, 0.000611
127.0.0.1, 2013-05-25 15:14:14, GET, /examples/static/images/Stickers5.png, HTTP/1.1, 200, 0.001769
